year,indie_open_world_games,aaa_open_world_games,indie_late_franchise_games,aaa_late_franchise_games
1994,0,0,0,0
1995,1,0,0,6
1996,0,2,1,16
1997,1,0,0,21
1998,1,2,0,30
1999,1,7,0,30
2000,0,3,1,23
2001,0,4,0,32
2002,0,7,1,43
2003,3,5,3,41
2004,1,9,7,58
2005,2,12,2,61
2006,1,21,0,50
2007,2,9,2,61
2008,0,20,6,57
2009,2,23,6,62
2010,3,16,13,75
2011,7,22,6,74
2012,12,22,10,65
2013,9,22,10,80
2014,22,31,15,70
2015,35,24,15,56
2016,43,32,9,79
2017,53,43,24,99
2018,60,38,16,99
2019,71,28,9,77
2020,108,22,19,78
2021,159,31,24,74
2022,95,33,13,78
2023,119,37,17,70
2024,135,22,19,53
