year,indie_open_world_fraction,aaa_open_world_fraction,indie_late_franchise_fraction,aaa_late_franchise_fraction
1994,0.0,0.0,0.0,0.0
1995,0.2,0.0,0.0,0.75
1996,0.0,0.1,0.125,0.8
1997,0.1,0.0,0.0,0.65625
1998,0.05555555555555555,0.047619047619047616,0.0,0.7142857142857143
1999,0.058823529411764705,0.1346153846153846,0.0,0.5769230769230769
2000,0.0,0.06,0.06666666666666667,0.46
2001,0.0,0.07547169811320754,0.0,0.6037735849056604
2002,0.0,0.09090909090909091,0.03333333333333333,0.5584415584415584
2003,0.09090909090909091,0.0684931506849315,0.09090909090909091,0.5616438356164384
2004,0.02702702702702703,0.0989010989010989,0.1891891891891892,0.6373626373626373
2005,0.044444444444444446,0.10714285714285714,0.044444444444444446,0.5446428571428571
2006,0.01639344262295082,0.18421052631578946,0.0,0.43859649122807015
2007,0.022988505747126436,0.072,0.022988505747126436,0.488
2008,0.0,0.17391304347826086,0.05405405405405406,0.4956521739130435
2009,0.011976047904191617,0.21296296296296297,0.03592814371257485,0.5740740740740741
2010,0.013574660633484163,0.11594202898550725,0.058823529411764705,0.5434782608695652
2011,0.026415094339622643,0.15602836879432624,0.022641509433962263,0.524822695035461
2012,0.031331592689295036,0.171875,0.02610966057441253,0.5078125
2013,0.017110266159695818,0.16793893129770993,0.019011406844106463,0.6106870229007634
2014,0.019113814074717638,0.2540983606557377,0.013032145960034752,0.5737704918032787
2015,0.01586582048957389,0.22857142857142856,0.006799637352674524,0.5333333333333333
2016,0.011580931861028817,0.22535211267605634,0.0024239159709130084,0.5563380281690141
2017,0.009340853013746916,0.25595238095238093,0.0042298202326401125,0.5892857142857143
2018,0.009296560272699102,0.24836601307189543,0.002479082739386427,0.6470588235294118
2019,0.012742282842785356,0.1794871794871795,0.001615218951902369,0.4935897435897436
2020,0.017931263489955173,0.14473684210526316,0.0031545741324921135,0.5131578947368421
2021,0.02235658042744657,0.17222222222222222,0.003374578177727784,0.4111111111111111
2022,0.015655899802241267,0.18232044198895028,0.0021423862887277522,0.430939226519337
2023,0.017981263221517076,0.15677966101694915,0.0025687518887881535,0.2966101694915254
2024,0.013619854721549637,0.11578947368421053,0.0019168684422921712,0.2789473684210526
