year,indie_ratings_p50,aaa_ratings_p50,aaa_open_world_ratings_p50,aaa_late_franchise_ratings_p50
1994,95.0,,,
1995,66.0,75.0,,76.5
1996,80.0,80.0,89.0,80.0
1997,,75.91666666666666,,78.5
1998,,71.0,,67.75
1999,60.0,79.5,84.0,70.0
2000,,80.0,90.0,84.16666666666667
2001,80.0,80.0,90.0,85.16666666666666
2002,75.0,76.66666666666667,80.0,76.0
2003,63.66666666666666,75.0,75.0,76.5
2004,73.33333333333333,80.0,83.25,79.9
2005,78.33333333333333,77.58571428571429,75.1,77.9857142857143
2006,75.0,74.66666666666667,79.375,73.8
2007,73.33333333333333,75.66666666666667,76.0,77.69444444444444
2008,76.07142857142857,75.0,81.58333333333334,76.0625
2009,75.0,79.0,80.66666666666666,79.375
2010,75.5,78.75,80.66666666666667,80.56666666666666
2011,75.0,78.0,81.5,79.95833333333334
2012,74.25,77.44444444444444,81.52573529411765,78.66666666666667
2013,73.8,75.5625,84.35714285714286,78.35897435897436
2014,70.0,77.95,75.58333333333333,79.60877192982457
2015,70.0,78.75,84.66666666666667,81.0
2016,70.0,78.58974358974359,77.42105263157895,80.05555555555556
2017,72.5,79.7,82.6,82.53529411764706
2018,70.5,77.51357466063348,70.30555555555556,78.8
2019,72.5,77.43650793650794,72.36363636363636,79.14285714285714
2020,75.0,78.33333333333333,82.33516483516485,79.79365079365078
2021,75.29166666666666,79.2,79.49242424242425,81.1
2022,78.0,77.76666666666667,78.69480519480518,79.625
2023,80.0,76.66666666666667,76.72222222222223,80.26666666666667
2024,80.0,78.16666666666666,75.0,79.6875
