year,all_games,indie_games,aaa_games
1994,322,3,1
1995,815,5,8
1996,1109,8,20
1997,1200,10,32
1998,1263,18,42
1999,1286,17,52
2000,1285,15,50
2001,1265,16,53
2002,1273,30,77
2003,1273,33,73
2004,1176,37,91
2005,1199,45,112
2006,1273,61,114
2007,1332,87,125
2008,1467,111,115
2009,1634,167,108
2010,1646,221,138
2011,1568,265,141
2012,1540,383,128
2013,1738,526,131
2014,2600,1151,122
2015,3779,2206,105
2016,5905,3713,142
2017,8361,5674,168
2018,9320,6454,153
2019,8360,5572,156
2020,9357,6023,152
2021,11516,7112,180
2022,10677,6068,181
2023,12062,6618,236
2024,17316,9912,190
